,Prices_usd,Market_caps,Volume,Date
0,4012,66500676482,1282809663,2017-09-18 00:00:00.000
1,3899,64629619385,942656241,2017-09-19 00:00:00.000
2,3858,63957210363,676074373,2017-09-20 00:00:00.000
3,3628,60152757874,913652257,2017-09-21 00:00:00.000
4,3622,60061814860,767837732,2017-09-22 00:00:00.000
5,3763,62411285738,578068211,2017-09-23 00:00:00.000
6,3672,60907151775,429544014,2017-09-24 00:00:00.000
7,3867,64137374771,800311260,2017-09-25 00:00:00.000
8,3853,63915425115,544391497,2017-09-26 00:00:00.000
9,4134,68589320812,936452128,2017-09-27 00:00:00.000
10,4135,68609525756,852500405,2017-09-28 00:00:00.000
11,4130,68544241007,829225349,2017-09-29 00:00:00.000
12,4298,71329258156,720251082,2017-09-30 00:00:00.000
13,4348,72162524814,682387248,2017-10-01 00:00:00.000
14,4383,72763860755,738468958,2017-10-02 00:00:00.000
15,4319,71707074498,760685985,2017-10-03 00:00:00.000
16,4231,70259971867,573368922,2017-10-04 00:00:00.000
17,4290,71244448102,713160614,2017-10-05 00:00:00.000
18,4348,72202651600,623863525,2017-10-06 00:00:00.000
19,4405,73165830198,468192424,2017-10-07 00:00:00.000
20,4562,75788890435,771225396,2017-10-08 00:00:00.000
21,4759,79061044585,1128809802,2017-10-09 00:00:00.000
22,4769,79249573590,1134289150,2017-10-10 00:00:00.000
23,4808,79896727838,836737765,2017-10-11 00:00:00.000
24,5332,88609513441,2084912155,2017-10-12 00:00:00.000
25,5610,93253757323,3174154333,2017-10-13 00:00:00.000
26,5679,94406037193,2311782991,2017-10-14 00:00:00.000
27,5684,94500193338,1665374310,2017-10-15 00:00:00.000
28,5729,95258545426,1060235879,2017-10-16 00:00:00.000
29,5644,93855824390,1106795866,2017-10-17 00:00:00.000
30,5593,93017336298,2100240729,2017-10-18 00:00:00.000
31,5696,94752516351,1229468606,2017-10-19 00:00:00.000
32,5953,99030673396,1843078157,2017-10-20 00:00:00.000
33,6044,100559216276,1763987336,2017-10-21 00:00:00.000
34,6003,99899292227,1799855389,2017-10-22 00:00:00.000
35,5960,99188570754,2039339670,2017-10-23 00:00:00.000
36,5550,92378194194,2240037527,2017-10-24 00:00:00.000
37,5705,94967978387,1621897626,2017-10-25 00:00:00.000
38,5883,97947023064,1501048614,2017-10-26 00:00:00.000
39,5776,96164443214,1332315431,2017-10-27 00:00:00.000
40,5734,95484533854,892992277,2017-10-28 00:00:00.000
41,6124,101977770673,1942980852,2017-10-29 00:00:00.000
42,6104,101669814828,1307795534,2017-10-30 00:00:00.000
43,6369,106082152741,1800486324,2017-10-31 00:00:00.000
44,6715,111860407349,2095690342,2017-11-01 00:00:00.000
45,7060,117621545279,4363333285,2017-11-02 00:00:00.000
46,7235,120546744685,2826731064,2017-11-03 00:00:00.000
47,7391,123154674357,2043449643,2017-11-04 00:00:00.000
48,7416,123596829565,1942850008,2017-11-05 00:00:00.000
49,7103,118388777524,2653734034,2017-11-06 00:00:00.000
50,7167,119464110442,1829995407,2017-11-07 00:00:00.000
51,7462,124396351241,3478638875,2017-11-08 00:00:00.000
52,7186,119816786360,2330693500,2017-11-09 00:00:00.000
53,6657,110999386930,3886426125,2017-11-10 00:00:00.000
54,6365,106146109132,3148369501,2017-11-11 00:00:00.000
55,5867,97832172888,6001017946,2017-11-12 00:00:00.000
56,6423,107125442451,4636291555,2017-11-13 00:00:00.000
57,6652,110957725266,1824550614,2017-11-14 00:00:00.000
58,7298,121737427357,2935591360,2017-11-15 00:00:00.000
59,7815,130381304858,3413089663,2017-11-16 00:00:00.000
60,7784,129865386010,3245859431,2017-11-17 00:00:00.000
61,7828,130622715624,2227536660,2017-11-18 00:00:00.000
62,8011,133701043637,1572771188,2017-11-19 00:00:00.000
63,8221,137213053125,1706394365,2017-11-20 00:00:00.000
64,8114,135455116259,2901936853,2017-11-21 00:00:00.000
65,8257,137857431278,1528137247,2017-11-22 00:00:00.000
66,8118,135545106327,1550586714,2017-11-23 00:00:00.000
67,8278,138239984963,2135298893,2017-11-24 00:00:00.000
68,8743,146022669794,2124257198,2017-11-25 00:00:00.000
69,9343,156058041450,3493015606,2017-11-26 00:00:00.000
70,9831,164237026935,3629754499,2017-11-27 00:00:00.000
71,10257,171368281967,3453118781,2017-11-28 00:00:00.000
72,9876,165021094137,10258439067,2017-11-29 00:00:00.000
73,10406,173903131019,7443964832,2017-11-30 00:00:00.000
74,10996,183780731163,5021611419,2017-12-01 00:00:00.000
75,11163,186591841366,3178820954,2017-12-02 00:00:00.000
76,11257,188190520506,5761492455,2017-12-03 00:00:00.000
77,11635,194541160318,3216349724,2017-12-04 00:00:00.000
78,12174,203585321680,3131952573,2017-12-05 00:00:00.000
79,13876,232080024191,5086411370,2017-12-06 00:00:00.000
80,18491,309298517515,16482921408,2017-12-07 00:00:00.000
81,16908,282850210542,24144297784,2017-12-08 00:00:00.000
82,15266,255421618137,7307194000,2017-12-09 00:00:00.000
83,15809,264523195368,10474626172,2017-12-10 00:00:00.000
84,17107,286279279595,7710546749,2017-12-11 00:00:00.000
85,17250,288713846623,4686094939,2017-12-12 00:00:00.000
86,16525,276619329724,4407769522,2017-12-13 00:00:00.000
87,16865,282355027769,4117594354,2017-12-14 00:00:00.000
88,17979,301031043805,6146229228,2017-12-15 00:00:00.000
89,19665,329315720181,5116192713,2017-12-16 00:00:00.000
90,19424,325311461891,4251128480,2017-12-17 00:00:00.000
91,19188,321409248360,5411492204,2017-12-18 00:00:00.000
92,18174,304459646943,6141309845,2017-12-19 00:00:00.000
93,17060,285821795917,7509260354,2017-12-20 00:00:00.000
94,16355,274043056258,5580926436,2017-12-21 00:00:00.000
95,14085,236028031210,12164204097,2017-12-22 00:00:00.000
96,15242,255444795621,5076754666,2017-12-23 00:00:00.000
97,14451,242218743695,4129411907,2017-12-24 00:00:00.000
98,14303,239755987703,2485439206,2017-12-25 00:00:00.000
99,16617,278573473665,4255570625,2017-12-26 00:00:00.000
100,16373,274522325686,4950722889,2017-12-27 00:00:00.000
101,15068,252666630245,5266566467,2017-12-28 00:00:00.000
102,15097,253178163423,3753038183,2017-12-29 00:00:00.000
103,13620,228445816988,3600481281,2017-12-30 00:00:00.000
104,14840,248925602660,2921202870,2017-12-31 00:00:00.000
105,14094,236440337971,2345478673,2018-01-01 00:00:00.000
106,15322,257079617264,4130217904,2018-01-02 00:00:00.000
107,15584,261505188675,3310355625,2018-01-03 00:00:00.000
108,15976,268124738814,4217387187,2018-01-04 00:00:00.000
109,18337,307774011688,6275687595,2018-01-05 00:00:00.000
110,18344,307926110569,4240919830,2018-01-06 00:00:00.000
111,17040,286074127681,3044989246,2018-01-07 00:00:00.000
112,15900,266976271422,5752981089,2018-01-08 00:00:00.000
113,15605,262044268423,4214092201,2018-01-09 00:00:00.000
114,15509,260474112841,4969472882,2018-01-10 00:00:00.000
115,14051,236008991341,5833888113,2018-01-11 00:00:00.000
116,14759,247945818276,4021952802,2018-01-12 00:00:00.000
117,15193,255265724750,3134247725,2018-01-13 00:00:00.000
118,14477,243252295974,3336056550,2018-01-14 00:00:00.000
119,14412,242193794408,3222958351,2018-01-15 00:00:00.000
120,11724,197043955228,9677283153,2018-01-16 00:00:00.000
121,11415,191882616843,10225958520,2018-01-17 00:00:00.000
122,11569,194496634731,6558304864,2018-01-18 00:00:00.000
123,11758,197698672432,4208563477,2018-01-19 00:00:00.000
124,13260,222978421656,4520485016,2018-01-20 00:00:00.000
125,11704,196828374433,4319501969,2018-01-21 00:00:00.000
126,10992,184878210439,5012581424,2018-01-22 00:00:00.000
127,10894,183260375707,4779406610,2018-01-23 00:00:00.000
128,11277,189730563330,3582338295,2018-01-24 00:00:00.000
129,11225,188880475665,3204496193,2018-01-25 00:00:00.000
130,11045,185867144988,4616389063,2018-01-26 00:00:00.000
131,11456,192805209257,2894314081,2018-01-27 00:00:00.000
132,11666,196359635508,2682886340,2018-01-28 00:00:00.000
133,11158,187828526722,2345235501,2018-01-29 00:00:00.000
