,Prices_usd,Market_caps,Volume,Date
0,3628,60152757874,913652257,2017-09-21 00:00:00.000
1,3622,60061814860,767837732,2017-09-22 00:00:00.000
2,3763,62411285738,578068211,2017-09-23 00:00:00.000
3,3672,60907151775,429544014,2017-09-24 00:00:00.000
4,3866,64137374771,800311260,2017-09-25 00:00:00.000
5,3852,63915425115,544391497,2017-09-26 00:00:00.000
6,4134,68589320812,936452128,2017-09-27 00:00:00.000
7,4134,68609525756,852500405,2017-09-28 00:00:00.000
8,4130,68544241007,829225349,2017-09-29 00:00:00.000
9,4297,71329258156,720251082,2017-09-30 00:00:00.000
10,4347,72162524814,682387248,2017-10-01 00:00:00.000
11,4383,72763860755,738468958,2017-10-02 00:00:00.000
12,4319,71707074498,760685985,2017-10-03 00:00:00.000
13,4231,70259971867,573368922,2017-10-04 00:00:00.000
14,4290,71244448102,713160614,2017-10-05 00:00:00.000
15,4347,72202651600,623863525,2017-10-06 00:00:00.000
16,4405,73165830198,468192424,2017-10-07 00:00:00.000
17,4562,75788890435,771225396,2017-10-08 00:00:00.000
18,4758,79061044585,1128809802,2017-10-09 00:00:00.000
19,4769,79249573590,1134289150,2017-10-10 00:00:00.000
20,4807,79896727838,836737765,2017-10-11 00:00:00.000
21,5331,88609513441,2084912155,2017-10-12 00:00:00.000
22,5610,93253757323,3174154333,2017-10-13 00:00:00.000
23,5679,94406037193,2311782991,2017-10-14 00:00:00.000
24,5684,94500193338,1665374310,2017-10-15 00:00:00.000
25,5728,95258545426,1060235879,2017-10-16 00:00:00.000
26,5643,93855824390,1106795866,2017-10-17 00:00:00.000
27,5592,93017336298,2100240729,2017-10-18 00:00:00.000
28,5696,94752516351,1229468606,2017-10-19 00:00:00.000
29,5952,99030673396,1843078157,2017-10-20 00:00:00.000
30,6043,100559216276,1763987336,2017-10-21 00:00:00.000
31,6003,99899292227,1799855389,2017-10-22 00:00:00.000
32,5959,99188570754,2039339670,2017-10-23 00:00:00.000
33,5550,92378194194,2240037527,2017-10-24 00:00:00.000
34,5704,94967978387,1621897626,2017-10-25 00:00:00.000
35,5883,97947023064,1501048614,2017-10-26 00:00:00.000
36,5775,96164443214,1332315431,2017-10-27 00:00:00.000
37,5734,95484533854,892992277,2017-10-28 00:00:00.000
38,6123,101977770673,1942980852,2017-10-29 00:00:00.000
39,6104,101669814828,1307795534,2017-10-30 00:00:00.000
40,6368,106082152741,1800486324,2017-10-31 00:00:00.000
41,6714,111860407349,2095690342,2017-11-01 00:00:00.000
42,7059,117621545279,4363333285,2017-11-02 00:00:00.000
43,7234,120546744685,2826731064,2017-11-03 00:00:00.000
44,7390,123154674357,2043449643,2017-11-04 00:00:00.000
45,7416,123596829565,1942850008,2017-11-05 00:00:00.000
46,7103,118388777524,2653734034,2017-11-06 00:00:00.000
47,7166,119464110442,1829995407,2017-11-07 00:00:00.000
48,7461,124396351241,3478638875,2017-11-08 00:00:00.000
49,7186,119816786360,2330693500,2017-11-09 00:00:00.000
50,6656,110999386930,3886426125,2017-11-10 00:00:00.000
51,6365,106146109132,3148369501,2017-11-11 00:00:00.000
52,5866,97832172888,6001017946,2017-11-12 00:00:00.000
53,6423,107125442451,4636291555,2017-11-13 00:00:00.000
54,6652,110957725266,1824550614,2017-11-14 00:00:00.000
55,7297,121737427357,2935591360,2017-11-15 00:00:00.000
56,7814,130381304858,3413089663,2017-11-16 00:00:00.000
57,7783,129865386010,3245859431,2017-11-17 00:00:00.000
58,7827,130622715624,2227536660,2017-11-18 00:00:00.000
59,8011,133701043637,1572771188,2017-11-19 00:00:00.000
60,8220,137213053125,1706394365,2017-11-20 00:00:00.000
61,8114,135455116259,2901936853,2017-11-21 00:00:00.000
62,8257,137857431278,1528137247,2017-11-22 00:00:00.000
63,8117,135545106327,1550586714,2017-11-23 00:00:00.000
64,8278,138239984963,2135298893,2017-11-24 00:00:00.000
65,8743,146022669794,2124257198,2017-11-25 00:00:00.000
66,9342,156058041450,3493015606,2017-11-26 00:00:00.000
67,9831,164237026935,3629754499,2017-11-27 00:00:00.000
68,10257,171368281967,3453118781,2017-11-28 00:00:00.000
69,9875,165021094137,10258439067,2017-11-29 00:00:00.000
70,10406,173903131019,7443964832,2017-11-30 00:00:00.000
71,10995,183780731163,5021611419,2017-12-01 00:00:00.000
72,11162,186591841366,3178820954,2017-12-02 00:00:00.000
73,11256,188190520506,5761492455,2017-12-03 00:00:00.000
74,11634,194541160318,3216349724,2017-12-04 00:00:00.000
75,12174,203585321680,3131952573,2017-12-05 00:00:00.000
76,13876,232080024191,5086411370,2017-12-06 00:00:00.000
77,18491,309298517515,16482921408,2017-12-07 00:00:00.000
78,16908,282850210542,24144297784,2017-12-08 00:00:00.000
79,15266,255421618137,7307194000,2017-12-09 00:00:00.000
80,15808,264523195368,10474626172,2017-12-10 00:00:00.000
81,17106,286279279595,7710546749,2017-12-11 00:00:00.000
82,17249,288713846623,4686094939,2017-12-12 00:00:00.000
83,16525,276619329724,4407769522,2017-12-13 00:00:00.000
84,16865,282355027769,4117594354,2017-12-14 00:00:00.000
85,17978,301031043805,6146229228,2017-12-15 00:00:00.000
86,19665,329315720181,5116192713,2017-12-16 00:00:00.000
87,19423,325311461891,4251128480,2017-12-17 00:00:00.000
88,19188,321409248360,5411492204,2017-12-18 00:00:00.000
89,18174,304459646943,6141309845,2017-12-19 00:00:00.000
90,17059,285821795917,7509260354,2017-12-20 00:00:00.000
91,16355,274043056258,5580926436,2017-12-21 00:00:00.000
92,14084,236028031210,12164204097,2017-12-22 00:00:00.000
93,15241,255444795621,5076754666,2017-12-23 00:00:00.000
94,14451,242218743695,4129411907,2017-12-24 00:00:00.000
95,14302,239755987703,2485439206,2017-12-25 00:00:00.000
96,16616,278573473665,4255570625,2017-12-26 00:00:00.000
97,16373,274522325686,4950722889,2017-12-27 00:00:00.000
98,15067,252666630245,5266566467,2017-12-28 00:00:00.000
99,15096,253178163423,3753038183,2017-12-29 00:00:00.000
100,13620,228445816988,3600481281,2017-12-30 00:00:00.000
101,14839,248925602660,2921202870,2017-12-31 00:00:00.000
102,14093,236440337971,2345478673,2018-01-01 00:00:00.000
103,15321,257079617264,4130217904,2018-01-02 00:00:00.000
104,15583,261505188675,3310355625,2018-01-03 00:00:00.000
105,15976,268124738814,4217387187,2018-01-04 00:00:00.000
106,18336,307774011688,6275687595,2018-01-05 00:00:00.000
107,18343,307926110569,4240919830,2018-01-06 00:00:00.000
108,17039,286074127681,3044989246,2018-01-07 00:00:00.000
109,15900,266976271422,5752981089,2018-01-08 00:00:00.000
110,15604,262044268423,4214092201,2018-01-09 00:00:00.000
111,15509,260474112841,4969472882,2018-01-10 00:00:00.000
112,14050,236008991341,5833888113,2018-01-11 00:00:00.000
113,14759,247945818276,4021952802,2018-01-12 00:00:00.000
114,15193,255265724750,3134247725,2018-01-13 00:00:00.000
115,14476,243252295974,3336056550,2018-01-14 00:00:00.000
116,14411,242193794408,3222958351,2018-01-15 00:00:00.000
117,11723,197043955228,9677283153,2018-01-16 00:00:00.000
118,11415,191882616843,10225958520,2018-01-17 00:00:00.000
119,11569,194496634731,6558304864,2018-01-18 00:00:00.000
120,11758,197698672432,4208563477,2018-01-19 00:00:00.000
121,13260,222978421656,4520485016,2018-01-20 00:00:00.000
122,11703,196828374433,4319501969,2018-01-21 00:00:00.000
123,10991,184878210439,5012581424,2018-01-22 00:00:00.000
124,10894,183260375707,4779406610,2018-01-23 00:00:00.000
125,11277,189730563330,3582338295,2018-01-24 00:00:00.000
126,11225,188880475665,3204496193,2018-01-25 00:00:00.000
127,11044,185867144988,4616389063,2018-01-26 00:00:00.000
128,11456,192805209257,2894314081,2018-01-27 00:00:00.000
129,11665,196359635508,2682886340,2018-01-28 00:00:00.000
130,11157,187828526722,2345235501,2018-01-29 00:00:00.000
131,11095,186776632503,2321424679,2018-01-30 00:05:18.718
132,9989,168188285150,3804947187,2018-01-31 00:00:00.000
133,10114,170304196700,3225562144,2018-02-01 00:00:00.000
134,9070,152744180864,4769515274,2018-02-02 00:00:00.000
135,8830,148715185541,6813550017,2018-02-03 00:00:00.000
136,8994,151507305722,3422042094,2018-02-04 00:00:00.000
137,8315,140081544557,3337096341,2018-02-05 00:00:00.000
138,6852,115444836533,5313588642,2018-02-06 00:00:00.000
139,7711,129936854004,9152685412,2018-02-07 00:00:00.000
140,7611,128271617562,4862232217,2018-02-08 00:05:28.226
141,8208,138345016554,3190753947,2018-02-09 00:00:00.000
142,8650,145812043727,2960039948,2018-02-10 00:00:00.000
143,8574,144544944416,3371677737,2018-02-11 00:00:00.000
144,8168,137716289625,2806997176,2018-02-12 00:00:00.000
145,8911,150256428069,3069219870,2018-02-13 00:00:00.000
146,8518,143645913955,2551515988,2018-02-14 00:00:00.000
147,9428,159007423075,3282094240,2018-02-15 00:00:00.000
148,10112,170569769073,4332356645,2018-02-16 00:00:00.000
149,10155,171309236631,3141038601,2018-02-17 00:00:00.000
150,11006,185692327611,3699819140,2018-02-18 00:00:00.000
151,10523,177561296505,4740378626,2018-02-19 00:00:00.000
152,11103,187364222442,3486171704,2018-02-20 00:00:00.000
153,11502,194121879194,4225354045,2018-02-21 00:00:00.000
154,9973,168362084194,4574800113,2018-02-22 00:00:00.000
155,10032,169362253983,4626064156,2018-02-23 00:00:00.000
156,10301,173922837770,4009462976,2018-02-24 00:00:00.000
157,9742,164497574061,3465387501,2018-02-25 00:00:00.000
158,9699,163790896885,2743650277,2018-02-26 00:00:00.000
159,10355,174886939893,3646748812,2018-02-27 00:00:00.000
160,10709,180884108725,3398119467,2018-02-28 00:00:00.000
161,10346,174778709347,3182259829,2018-03-01 00:00:00.000
162,10859,183463718171,2892166041,2018-03-02 00:00:00.000
