Price_usd,Market_cap,Volume,Date
0,784322281,7251416,2017-10-31 00:00:00
0,3216634513,123583686,2017-11-30 00:00:00
0,19902516520,312335398,2017-12-31 00:00:00
0,13008040886,60904687,2018-01-31 00:00:00
0,8558229137,43595311,2018-02-28 00:00:00
0,3804043139,124911837,2018-03-31 00:00:00
0,9412827551,663808565,2018-04-30 00:00:00
0,5496973632,231891894,2018-05-31 00:00:00
0,3892880584,70704522,2018-06-30 00:00:00
0,4787010510,74698278,2018-07-31 00:00:00
0,3145985259,74150720,2018-08-31 00:00:00
0,2633828107,65434385,2018-09-30 00:00:00
0,2177662436,32346620,2018-10-31 00:00:00
0,1300488688,68947905,2018-11-30 00:00:00
0,1328117219,50126345,2018-12-31 00:00:00
0,1226333484,37062014,2019-01-31 00:00:00
0,1340877352,32087203,2019-02-28 00:00:00
0,2234931086,182155337,2019-03-31 00:00:00
0,1999777250,118785543,2019-04-30 00:00:00
0,2640985616,331448382,2019-05-31 00:00:00
0,2815098679,346418708,2019-06-30 00:00:00
0,1861201640,82533252,2019-07-31 00:00:00
0,1393356581,115569760,2019-08-31 00:00:00
0,1161234042,63808867,2019-09-30 00:00:00
0,1297263669,127353940,2019-10-31 00:00:00
0,1281816022,142009998,2019-11-30 00:00:00
0,1038340931,65112671,2019-12-31 00:00:00
0,1733739134,220132465,2020-01-31 00:00:00
0,1531950187,195936467,2020-02-29 00:00:00
0,933379645,104645794,2020-03-31 00:00:00
0,1598493713,350212135,2020-04-30 00:00:00
0,2349213951,608232672,2020-05-31 00:00:00
0,2605637535,342564753,2020-06-30 00:00:00
0,4394189964,333709527,2020-07-31 00:00:00
0,3644289688,380535420,2020-08-31 00:00:00
0,3152600659,483215932,2020-09-30 00:00:00
0,2901306193,466949288,2020-10-31 00:00:00
0,5139050069,1365586028,2020-11-30 00:00:00
0,5728871576,1624809767,2020-12-31 00:00:00
0,11492910452,2354964351,2021-01-31 00:00:00
1,42146907598,17436012662,2021-02-28 00:00:00
1,38747164636,2870621694,2021-03-31 00:00:00
1,42218008953,3877408673,2021-04-30 00:00:00
1,50414535804,5832058168,2021-05-31 00:00:00
1,44142782696,3523964121,2021-06-30 00:00:00
1,41920164939,1393986955,2021-07-31 00:00:00
2,87653684618,4154229341,2021-08-31 00:00:00
2,65835114804,2297621518,2021-09-30 00:00:00
1,62586219628,1583695724,2021-10-31 00:00:00
1,51581902399,1576848025,2021-11-30 00:00:00
1,43402759872,1143248114,2021-12-31 00:00:00
1,33352205324,632774025,2022-01-31 00:00:00
0,27574399427,931897414,2022-02-28 00:00:00
1,38244803202,1355237416,2022-03-31 00:00:00
0,25935835072,794628783,2022-04-30 00:00:00
0,19316903359,1005116302,2022-05-31 00:00:00
0,15747671034,724334193,2022-06-30 00:00:00
0,17764182816,1135684896,2022-07-31 00:00:00
0,15340224310,545010438,2022-08-31 00:00:00
0,14806691717,451700955,2022-09-30 00:00:00
0,14192539385,546408379,2022-10-31 00:00:00
0,10871692878,186459858,2022-11-30 00:00:00
0,8607991177,171616881,2022-12-31 00:00:00
0,13050686924,406195562,2023-01-31 00:00:00
0,12807607550,252916442,2023-02-28 00:00:00
0,13226069415,429889697,2023-03-31 00:00:00
0,14118334309,159646974,2023-04-30 00:00:00
0,13257325917,199866301,2023-05-31 00:00:00
0,9671039073,180074752,2023-06-30 00:00:00
0,11028996499,170944684,2023-07-31 00:00:00
0,9374736046,142203331,2023-08-20 15:16:34
