Price_usd,Market_cap,Volume,Date
297,28209139740,234494285,2017-09-30 00:00:00
303,28971625622,275058601,2017-10-31 00:00:00
454,43624717838,1302713009,2017-11-30 00:00:00
774,74906560027,1127368142,2017-12-31 00:00:00
1058,102965815556,2570454739,2018-01-31 00:00:00
869,85086932065,1185779363,2018-02-28 00:00:00
395,38946452754,1552652584,2018-03-31 00:00:00
680,67420561666,1180427164,2018-04-30 00:00:00
555,55406697681,1076970536,2018-05-31 00:00:00
432,43417851340,1274641927,2018-06-30 00:00:00
458,46276223652,1658111274,2018-07-31 00:00:00
285,28983027590,2491159403,2018-08-31 00:00:00
231,23704835590,2157048771,2018-09-30 00:00:00
197,20319037427,977416380,2018-10-31 00:00:00
117,12182154959,1607356549,2018-11-30 00:00:00
137,14310166049,2326472259,2018-12-31 00:00:00
108,11329885765,2493952726,2019-01-31 00:00:00
134,14178777736,4639489690,2019-02-28 00:00:00
142,15005382590,6431145135,2019-03-31 00:00:00
154,16314567668,6411778889,2019-04-30 00:00:00
255,27163085813,13789629797,2019-05-31 00:00:00
321,34306768610,15410762009,2019-06-30 00:00:00
209,22459680355,6861118022,2019-07-31 00:00:00
168,18137815999,6149887965,2019-08-31 00:00:00
169,18340364798,6622811335,2019-09-30 00:00:00
183,19844553056,10475563029,2019-10-31 00:00:00
154,16758887510,7145810322,2019-11-30 00:00:00
131,14330460495,8424570388,2019-12-31 00:00:00
184,20090242968,18170945326,2020-01-31 00:00:00
227,25137364865,19715536659,2020-02-29 00:00:00
132,14615131244,8469234427,2020-03-31 00:00:00
215,23796586177,20966892392,2020-04-30 00:00:00
242,27012940828,13546265992,2020-05-31 00:00:00
228,25465535919,5792207632,2020-06-30 00:00:00
334,37564052087,10534706857,2020-07-31 00:00:00
428,48092923342,12945668314,2020-08-31 00:00:00
359,40574256067,9708794838,2020-09-30 00:00:00
382,43341298725,10598788554,2020-10-31 00:00:00
574,65121266717,13623124682,2020-11-30 00:00:00
752,85790178023,13293869466,2020-12-31 00:00:00
1372,157410718624,29581914651,2021-01-31 00:00:00
1480,167833687528,28221473460,2021-02-28 00:00:00
1840,212080597430,28496809577,2021-03-31 00:00:00
2757,318971242360,38536865198,2021-04-30 00:00:00
2395,278270782653,37392021393,2021-05-31 00:00:00
2169,253607549372,27149143846,2021-06-30 00:00:00
2462,287344044145,24040211451,2021-07-31 00:00:00
3232,378977088509,21741061738,2021-08-31 00:00:00
2855,335476370747,17522543131,2021-09-30 00:00:00
4324,511066583044,15937401968,2021-10-31 00:00:00
4444,527331112023,20150915710,2021-11-30 00:00:00
3714,441654436877,13445245167,2021-12-31 00:00:00
2610,311602914058,8937393969,2022-01-31 00:00:00
2629,314566178973,17309819254,2022-02-28 00:00:00
3383,407460530687,14183468637,2022-03-31 00:00:00
2817,340291788026,17902735173,2022-04-30 00:00:00
1995,241204871683,18803016950,2022-05-31 00:00:00
1098,133275228451,14755440934,2022-06-30 00:00:00
1696,203433082401,14236780342,2022-07-31 00:00:00
1525,184447549243,19704720195,2022-08-31 00:00:00
1335,161267455734,11834328252,2022-09-30 00:00:00
1591,191500820025,10366405350,2022-10-31 00:00:00
1216,146749281622,7132972094,2022-11-30 00:00:00
1199,144611517916,4110733112,2022-12-31 00:00:00
1568,188787565951,10977781767,2023-01-31 00:00:00
1633,197018105507,7916573299,2023-02-28 00:00:00
1792,216024475834,10958214915,2023-03-31 00:00:00
1905,229429843509,5262009753,2023-04-30 00:00:00
1901,228588229006,6019457141,2023-05-31 00:00:00
1853,222892015037,6609358548,2023-06-30 00:00:00
1861,223813641443,5791342964,2023-07-31 00:00:00
1670,200443808110,8794882869,2023-08-20 15:16:24
