Price_usd,Market_cap,Volume,Date
0,5897415,8964597,2020-04-30 00:00:00
0,9591470,2439529,2020-05-31 00:00:00
0,14062849,2179078,2020-06-30 00:00:00
1,41117076,5611511,2020-07-31 00:00:00
4,144468272,22083311,2020-08-31 00:00:00
2,117794737,6850416,2020-09-30 00:00:00
1,65971825,9349348,2020-10-31 00:00:00
1,87979239,7475716,2020-11-30 00:00:00
1,71585859,16897738,2020-12-31 00:00:00
4,1099976702,67081650,2021-01-31 00:00:00
13,3502097092,331645301,2021-02-28 00:00:00
19,5140859722,320692680,2021-03-31 00:00:00
42,11521025311,1007552489,2021-04-30 00:00:00
28,7786190305,385506550,2021-05-31 00:00:00
33,9355893411,645572532,2021-06-30 00:00:00
32,8782089188,673479026,2021-07-31 00:00:00
109,31920673369,4827155957,2021-08-31 00:00:00
135,40196990252,2423220767,2021-09-30 00:00:00
193,58207049317,1651079244,2021-10-31 00:00:00
204,62325150548,2007398408,2021-11-30 00:00:00
172,53261290659,1379259729,2021-12-31 00:00:00
93,29427732656,941974724,2022-01-31 00:00:00
85,27360038516,1559328417,2022-02-28 00:00:00
120,39218225944,3208462667,2022-03-31 00:00:00
94,31459421205,1226739530,2022-04-30 00:00:00
47,16054338780,1756204402,2022-05-31 00:00:00
33,11618504834,1300629589,2022-06-30 00:00:00
43,15135249027,1727836476,2022-07-31 00:00:00
31,11032381033,846296043,2022-08-31 00:00:00
33,12066578261,949323509,2022-09-30 00:00:00
32,11772898715,704167456,2022-10-31 00:00:00
13,4865903266,298911192,2022-11-30 00:00:00
9,3630516626,996392621,2022-12-31 00:00:00
23,8894199458,1111636437,2023-01-31 00:00:00
22,8589782940,515693154,2023-02-28 00:00:00
20,7919320174,532520991,2023-03-31 00:00:00
23,9092156212,419332790,2023-04-30 00:00:00
21,8420948536,390015607,2023-05-31 00:00:00
17,7187331652,635900925,2023-06-30 00:00:00
24,9816173591,354202895,2023-07-31 00:00:00
20,8273696101,301060134,2023-08-22 17:44:15
