id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,last_updated
bitcoin,btc,Bitcoin,26098.0,508115315953,1,548115337763.0,6401114611.0,19467475.0,21000000.0,21000000.0,69045.0,-62.18853,67.81,38400.561,2023-08-25T12:59:52.454Z
ethereum,eth,Ethereum,1654.22,198890570225,2,198890570225.0,6788453557.0,120216444.295051,120216444.295051,,4878.26,-66.06976,0.432979,382183.21615,2023-08-25T12:59:45.512Z
tether,usdt,Tether,0.999797,82831846090,3,82831846090.0,16465996026.0,82849133565.976,82849133565.976,,1.32,-24.41547,0.572521,74.67576,2023-08-25T12:55:00.330Z
binancecoin,bnb,BNB,216.17,33289170677,4,43273110209.0,392997170.0,153856150.0,153856150.0,200000000.0,686.31,-68.47108,0.0398177,543339.40584,2023-08-25T12:59:44.270Z
ripple,xrp,XRP,0.514163,27214550827,5,51431476132.0,817815350.0,52914193551.0,99988485729.0,100000000000.0,3.4,-84.85765,0.00268621,19057.31709,2023-08-25T12:59:49.955Z
usd-coin,usdc,USD Coin,0.999891,25865269172,6,25866864550.0,3347472475.0,25865690633.0904,25867286037.324,,1.17,-14.71288,0.877647,13.96013,2023-08-25T12:59:52.296Z
staked-ether,steth,Lido Staked Ether,1652.49,13845759319,7,13845759319.0,7728549.0,8377154.22324015,8373914.42478455,8373914.42478455,4829.57,-65.7707,482.9,242.33618,2023-08-25T12:59:30.514Z
cardano,ada,Cardano,0.262384,9199776466,8,11813088741.0,211499538.0,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.4903,0.01925275,1264.41245,2023-08-25T12:59:50.556Z
dogecoin,doge,Dogecoin,0.062269,8764206818,9,8764223009.0,235572421.0,140734136383.705,140734396383.705,,0.731578,-91.48609,8.69e-05,71572.30226,2023-08-25T12:59:53.466Z
solana,sol,Solana,20.67,8431811165,10,11488527692.0,301754462.0,407933867.945148,555818844.420319,,259.96,-92.05597,0.500801,4023.64217,2023-08-25T12:59:47.181Z
tron,trx,TRON,0.077105,6903541775,11,6903533388.0,197422996.0,89380157487.3723,89380048905.7867,,0.231673,-66.61649,0.00180434,4186.35513,2023-08-25T12:59:49.714Z
polkadot,dot,Polkadot,4.45,5645017877,12,6005493407.0,98568716.0,1267656888.8186,1348606019.24085,,54.98,-91.90456,2.7,65.00537,2023-08-25T12:59:49.417Z
matic-network,matic,Polygon,0.543535,5070037452,13,5440264262.0,249998698.0,9319469069.28493,10000000000.0,10000000000.0,2.92,-81.33367,0.00314376,17215.54754,2023-08-25T12:59:54.102Z
the-open-network,ton,Toncoin,1.43,4928472406,14,7297472397.0,24005028.0,3439356127.86954,5092573183.05573,,5.29,-72.95462,0.519364,175.51314,2023-08-25T12:59:50.458Z
shiba-inu,shib,Shiba Inu,8.09e-06,4766758380,15,8088281285.0,135277942.0,589332418248373.6,999984893121021.0,,8.616e-05,-90.61843,5.6366e-11,14340088.9317,2023-08-25T12:59:46.894Z
litecoin,ltc,Litecoin,64.71,4763587564,16,5438209920.0,343612250.0,73579608.2334713,84000000.0,84000000.0,410.26,-84.21047,1.15,5538.55416,2023-08-25T12:59:52.167Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,26109.0,4246120051,17,4246120051.0,39221099.0,162584.81964305,162584.81964305,162584.81964305,70643.0,-63.02533,3139.17,732.07144,2023-08-25T12:59:49.527Z
dai,dai,Dai,1.0,3919132505,18,3918961949.0,72039528.0,3919490352.07069,3919319780.35304,,1.22,-17.95661,0.88196,13.38973,2023-08-25T12:55:00.797Z
bitcoin-cash,bch,Bitcoin Cash,190.43,3714748538,19,4003399629.0,138303478.0,19485868.6466508,21000000.0,21000000.0,3785.82,-94.96123,76.93,147.94854,2023-08-25T12:59:49.195Z
leo-token,leo,LEO Token,3.85,3584109884,20,3798929091.0,97469.0,929526863.9,985239504.0,,8.14,-52.58589,0.799859,382.24753,2023-08-25T12:59:50.989Z
uniswap,uni,Uniswap,4.59,3462961576,21,4594208961.0,88678320.0,753766667.0,1000000000.0,1000000000.0,44.92,-89.76656,1.03,346.20381,2023-08-25T12:59:43.870Z
avalanche-2,avax,Avalanche,10.01,3443527665,22,7205653032.0,107790313.0,344082612.350006,430802067.121717,720000000.0,144.96,-93.09653,2.8,257.26963,2023-08-25T12:59:53.376Z
stellar,xlm,Stellar,0.121419,3331927935,23,6078729922.0,72071273.0,27407427838.5198,50001787230.4731,50001787230.4731,0.875563,-86.11548,0.00047612,25432.81447,2023-08-25T12:59:48.577Z
chainlink,link,Chainlink,5.97,3215098320,24,5974908924.0,198618492.0,538099971.2305644,1000000000.0,1000000000.0,52.7,-88.65363,0.148183,3934.97143,2023-08-25T12:59:48.858Z
binance-usd,busd,Binance USD,0.999938,3173215677,25,3173215677.0,1258607435.0,3173249414.44,3173249414.44,,1.15,-13.31172,0.901127,11.03422,2023-08-25T12:59:48.418Z
true-usd,tusd,TrueUSD,0.999472,2902089199,26,2902089199.0,1547412360.0,2903500023.8,2903500023.8,,1.62,-38.213,0.88355,13.18325,2023-08-25T12:59:45.968Z
okb,okb,OKB,42.88,2572258015,27,12861290076.0,5175203.0,60000000.0,235957685.3,300000000.0,58.66,-26.79009,0.580608,7296.37222,2023-08-25T12:59:48.945Z
monero,xmr,Monero,138.48,2514475917,28,,68779522.0,18147820.3764146,,,542.33,-74.41905,0.216177,64075.3088,2023-08-25T12:59:45.925Z
ethereum-classic,etc,Ethereum Classic,15.92,2272437540,29,3355526292.0,62441802.0,142690757.904155,210700000.0,210700000.0,167.09,-90.45299,0.615038,2493.60485,2023-08-25T12:59:52.367Z
cosmos,atom,Cosmos Hub,7.24,2117559958,30,,111813869.0,292586163.827428,,,44.45,-83.70458,1.16,524.36443,2023-08-25T12:59:45.615Z
hedera-hashgraph,hbar,Hedera,0.058812,1945076932,31,2939671410.0,63398815.0,33083237216.8024,50000000000.0,50000000000.0,0.569229,-89.67035,0.00986111,496.27495,2023-08-25T12:59:52.189Z
internet-computer,icp,Internet Computer,3.54,1562033757,32,1659390819.0,24575587.0,441684771.452923,503981779.322697,469213710.0,700.65,-99.49529,3.3,7.01973,2023-08-25T12:59:46.261Z
quant-network,qnt,Quant,100.2,1456486429,33,1463327830.0,11424840.0,14544176.164091088,14612493.0,14612493.0,427.42,-76.57022,0.215773,46311.72062,2023-08-25T12:59:47.888Z
filecoin,fil,Filecoin,3.25,1441948947,34,6381990940.0,103740416.0,443173117.0,1961461117.0,1961461117.0,236.84,-98.62568,2.64,23.24772,2023-08-25T12:59:46.228Z
mantle,mnt,Mantle,0.434639,1405593082,35,2702781696.0,9768652.0,3234382070.76314,6219316794.99,6219316794.99,0.600075,-27.61056,0.416125,4.38961,2023-08-25T12:59:16.601Z
lido-dao,ldo,Lido DAO,1.58,1387179988,36,1577777508.0,35663720.0,879198734.478036,1000000000.0,1000000000.0,7.3,-78.48353,0.40615,286.88192,2023-08-25T12:59:48.157Z
crypto-com-chain,cro,Cronos,0.051151,1342305412,37,1535087570.0,3221224.0,26232485471.0327,30000000000.0,,0.965407,-94.70147,0.0121196,322.06338,2023-08-25T12:59:45.366Z
aptos,apt,Aptos,5.65,1282865765,38,5939420341.0,63184529.0,227165059.192153,1051730268.83723,,19.92,-71.64898,3.08,83.377,2023-08-25T12:59:43.987Z
arbitrum,arb,Arbitrum,0.955558,1218067155,39,9553467881.0,133129033.0,1275000000.0,10000000000.0,10000000000.0,8.67,-88.97504,0.912886,4.74731,2023-08-25T12:59:46.257Z
vechain,vet,VeChain,0.01579514,1148875342,40,1370042901.0,26500710.0,72714516834.0,85985041177.0,86712634466.0,0.280991,-94.37053,0.00191713,725.10185,2023-08-25T12:59:49.073Z
near,near,NEAR Protocol,1.18,1108791059,41,1177471165.0,56510388.0,941671517.686093,1000000000.0,,20.44,-94.24097,0.526762,123.44739,2023-08-25T12:59:52.675Z
optimism,op,Optimism,1.49,1065616897,42,6385841834.0,123494105.0,716708907.0,4294967296.0,4294967296.0,3.22,-53.83928,0.402159,269.96468,2023-08-25T12:59:48.511Z
rocket-pool-eth,reth,Rocket Pool ETH,1796.97,916867539,43,916867539.0,15187244.0,510207.779112305,510207.779112305,,4814.31,-62.65603,887.26,102.62914,2023-08-25T12:59:21.155Z
maker,mkr,Maker,1000.28,899818618,44,1003912034.0,65658161.0,901310.9472893132,977631.036950888,1005577.0,6292.31,-84.09728,168.36,494.35965,2023-08-25T12:59:48.982Z
the-graph,grt,The Graph,0.089506,819796545,45,894743168.0,37469903.0,9162367195.7452,10000000000.0,,2.84,-96.83847,0.052051,72.59051,2023-08-25T12:59:42.363Z
aave,aave,Aave,56.11,814838200,46,897625136.0,70615206.0,14524338.359259905,16000000.0,16000000.0,661.69,-91.52053,26.02,115.60731,2023-08-25T12:59:46.976Z
