Price_usd,Market_cap,Volume,Date
0,17191164,204,2017-09-30 00:00:00
1,127642112,3364798,2017-10-31 00:00:00
2,198350010,10636605,2017-11-30 00:00:00
9,911813027,51597413,2017-12-31 00:00:00
11,1108659359,42972024,2018-01-31 00:00:00
10,1059577325,79977644,2018-02-28 00:00:00
10,1035804124,67409065,2018-03-31 00:00:00
14,1704642241,75309588,2018-04-30 00:00:00
12,1430349202,36184483,2018-05-31 00:00:00
14,1637710573,53245123,2018-06-30 00:00:00
13,1295448185,36421565,2018-07-31 00:00:00
10,1054126747,21800283,2018-08-31 00:00:00
9,1440392829,31593173,2018-09-30 00:00:00
9,1362381725,14604141,2018-10-31 00:00:00
5,771935628,11948338,2018-11-30 00:00:00
5,850105601,18852746,2018-12-31 00:00:00
6,886231112,41083004,2019-01-31 00:00:00
9,1420171312,85185303,2019-02-28 00:00:00
16,2428819888,193916084,2019-03-31 00:00:00
21,3117991943,277563434,2019-04-30 00:00:00
31,4597989593,519785080,2019-05-31 00:00:00
35,5001220258,354473586,2019-06-30 00:00:00
26,4156576659,166536897,2019-07-31 00:00:00
22,3451891491,180505731,2019-08-31 00:00:00
15,2375227666,106615424,2019-09-30 00:00:00
20,3114274313,227250569,2019-10-31 00:00:00
16,2479816860,213298946,2019-11-30 00:00:00
13,2126194408,180733324,2019-12-31 00:00:00
18,2847071752,252662477,2020-01-31 00:00:00
18,2926158625,475710231,2020-02-29 00:00:00
12,1843126769,276558085,2020-03-31 00:00:00
17,2563905019,458695909,2020-04-30 00:00:00
17,2623199554,302824541,2020-05-31 00:00:00
15,2288640054,162349712,2020-06-30 00:00:00
20,2965551533,199617619,2020-07-31 00:00:00
23,3486695535,242465281,2020-08-31 00:00:00
28,4253400066,470569222,2020-09-30 00:00:00
28,4216701943,374739907,2020-10-31 00:00:00
30,4451872526,452491273,2020-11-30 00:00:00
38,5644561342,595689639,2020-12-31 00:00:00
44,6604362183,612389944,2021-01-31 00:00:00
226,34863282195,4001793419,2021-02-28 00:00:00
309,47742356655,4420529271,2021-03-31 00:00:00
599,92491549499,8239013550,2021-04-30 00:00:00
325,50312143376,4709152915,2021-05-31 00:00:00
300,46872790459,1889939149,2021-06-30 00:00:00
322,49890385871,1393575305,2021-07-31 00:00:00
461,71302040315,1882612669,2021-08-31 00:00:00
368,56833140653,2218687351,2021-09-30 00:00:00
526,88364902395,2156161648,2021-10-31 00:00:00
623,104784648775,2325905243,2021-11-30 00:00:00
518,87050521604,1698742743,2021-12-31 00:00:00
378,63620799335,809713293,2022-01-31 00:00:00
361,60867607019,1258267471,2022-02-28 00:00:00
442,74528326961,1873665298,2022-03-31 00:00:00
392,66152617932,1914673120,2022-04-30 00:00:00
322,54167940538,1711355389,2022-05-31 00:00:00
219,35835405053,790368142,2022-06-30 00:00:00
287,46919624855,1138108421,2022-07-31 00:00:00
281,46046373619,364213046,2022-08-31 00:00:00
283,46295594360,699402558,2022-09-30 00:00:00
313,51110669155,1619397557,2022-10-31 00:00:00
296,48390045094,136503299,2022-11-30 00:00:00
245,40164375080,298665936,2022-12-31 00:00:00
307,41374485112,923049424,2023-01-31 00:00:00
304,48144114205,493844165,2023-02-28 00:00:00
317,50168780547,160176096,2023-03-31 00:00:00
321,50858247900,478613089,2023-04-30 00:00:00
311,49203273430,374599802,2023-05-31 00:00:00
233,36395478143,465187400,2023-06-30 00:00:00
242,37315750968,314019546,2023-07-31 00:00:00
205,31667350413,607669657,2023-08-22 17:44:06
