,total_market_cap,total_volume,market_cap_percentage
btc,41801809.51269325,1598513.0121756543,46.565582272435634
eth,666576916.2757717,25490089.704350974,18.03216018419552
usdt,,,7.603567275591947
bnb,5086335928.997971,194502923.71508288,3.020624087116373
xrp,2095903873469.3896,80147956585.29657,2.5208602413443097
usdc,,,2.3836719664494708
steth,,,1.2482942928735743
ada,,,0.8331095029249967
doge,,,0.8120081033256734
sol,,,0.76893009607295
ltc,16806485542.070791,642684757.9357637,
bch,5825016058.076123,222750260.65891707,
eos,1887641842522.3398,72183957650.99448,
xlm,9001119969655.645,344205372049.25525,
link,177480276087.0964,6786895927.163237,
dot,246288128585.82465,9418127657.112183,
yfi,195227693.98802823,7465562.204481786,
usd,1088141830166.8698,41610851178.2533,
aed,3996783027166.9688,152838112757.51566,
ars,380762755697691.3,14560475410754.635,
aud,1691418542229.6843,64680323179.98874,
bdt,118878464475417.4,4545946085748.11,
bhd,410203354568.9862,15686292233.773232,
bmd,1088141830166.8698,41610851178.2533,
brl,5373570799913.075,205486866373.56915,
cad,1474268958601.5833,56376461718.85648,
chf,958137173149.5132,36639436344.58267,
clp,946193728421601.4,36182715642050.16,
cny,7835709319031.646,299639739334.6027,
czk,24152613690749.867,923602774922.7457,
dkk,7476633396494.867,285908574554.2904,
eur,1003161217656.3276,38361168533.785255,
gbp,854481870549.6493,32675628272.193516,
hkd,8529342064246.015,326164451585.6263,
huf,384244688770482.06,14693625515720.564,
idr,1.667431833932914e+16,637630646742294.1,
ils,4125227288799.8687,157749857630.59677,
inr,90383059330202.1,3456273737999.3296,
jpy,158501731372139.22,6061151012465.117,
krw,1456725217842026.0,55705584112998.945,
kwd,335424071716.25854,12826711319.101305,
lkr,352827162527274.75,13492210431168.13,
mmk,2285138416894851.0,87384339018139.95,
mxn,18390410859909.055,703254509829.1619,
myr,5064756148511.683,193677706809.17953,
ngn,829479635717905.1,31719535744670.793,
nok,11555522165457.07,441886434087.4609,
nzd,1828979256115.7212,69940683764.24123,
php,61267831188254.7,2342899183645.8066,
pkr,323722194474643.9,12379228225530.365,
pln,4482244446993.94,171402294680.47864,
rub,102829412744045.66,3932225810842.5977,
sar,4081754934542.8696,156087462515.1743,
sek,11881420643592.05,454348884015.34784,
sgd,1476782566229.2712,56472582785.07835,
thb,38095845474142.12,1456795899750.6487,
try,29605835384489.344,1132135513991.7124,
twd,34772876865036.723,1329724640811.6484,
uah,40198026675841.484,1537183903141.916,
vef,108955641454.60864,4166494528.4785023,
vnd,2.5917404215474476e+16,991088863453912.6,
zar,20443922741970.59,781781384679.781,
xdr,818176018386.1295,31287282222.631012,
xag,46429858462.88047,1775490912.2738242,
xau,573026369.1841744,21912690.33897994,
bits,41801809512693.25,1598513012175.6543,
sats,4180180951269325.0,159851301217565.44,
