,Prices_usd,Market_caps,Volume,Date
0,617,0,137563,2020-12-22 00:00:00
1,617,0,137563,2020-12-23 00:00:00
2,596,4424223,67102,2020-12-24 00:00:00
3,611,5651612,54336,2020-12-25 00:00:00
4,624,7284743,45933,2020-12-26 00:00:00
5,629,7530256,10300,2020-12-27 00:00:00
6,678,8034076,89087,2020-12-28 00:00:00
7,730,11392116,2319,2020-12-29 00:00:00
8,722,11493376,116741,2020-12-30 00:00:00
9,722,11905413,95848,2020-12-31 00:00:00
10,733,12333635,81813,2021-01-01 00:00:00
11,723,12123442,5104,2021-01-02 00:00:00
12,772,13205950,34572,2021-01-03 00:00:00
13,977,15836679,35395,2021-01-04 00:00:00
14,966,17475397,277333,2021-01-05 00:00:00
15,1113,19381852,442577,2021-01-06 00:00:00
16,1173,21396653,38065,2021-01-07 00:00:00
17,1223,22986311,33380,2021-01-08 00:00:00
18,1224,24866161,61432,2021-01-09 00:00:00
19,1247,27038338,16621,2021-01-10 00:00:00
20,1279,32744969,29187,2021-01-11 00:00:00
21,1087,28497872,45761,2021-01-12 00:00:00
22,1051,29435948,23342,2021-01-13 00:00:00
23,1137,53336069,65350,2021-01-14 00:00:00
24,1215,76486156,20891,2021-01-15 00:00:00
25,1160,77773706,23973,2021-01-16 00:00:00
26,1219,86367412,27560,2021-01-17 00:00:00
27,1193,84463316,7698,2021-01-18 00:00:00
28,1246,83549641,3633,2021-01-19 00:00:00
29,1374,94727223,8909,2021-01-20 00:00:00
30,1328,101801923,5907,2021-01-21 00:00:00
31,1110,84924379,77,2021-01-22 00:00:00
32,1207,93051751,8820,2021-01-23 00:00:00
33,1241,110162894,7089,2021-01-24 00:00:00
34,1332,119999757,4435,2021-01-25 00:00:00
35,1323,121253879,2866,2021-01-26 00:00:00
36,1360,129743647,94,2021-01-27 00:00:00
37,1243,121610639,62,2021-01-28 00:00:00
38,1368,136214636,1491,2021-01-29 00:00:00
39,1304,130336576,275,2021-01-30 00:00:00
40,1273,128423916,815,2021-01-31 00:00:00
41,1329,140184744,13164,2021-02-01 00:00:00
42,1346,145276753,28536,2021-02-02 00:00:00
43,1545,180735971,54038,2021-02-03 00:00:00
44,1624,203744610,19158,2021-02-04 00:00:00
45,1594,201186682,1830,2021-02-05 00:00:00
46,1731,222268505,44490,2021-02-06 00:00:00
47,1682,220914601,56381,2021-02-07 00:00:00
48,1613,219932936,7027,2021-02-08 00:00:00
49,1743,239165407,81848,2021-02-09 00:00:00
50,1737,250012542,15729,2021-02-10 00:00:00
51,1678,242295834,153624,2021-02-11 00:00:00
52,1798,259833191,168109,2021-02-12 00:00:00
53,1808,261280877,59804,2021-02-13 00:00:00
54,1802,262939728,19653,2021-02-14 00:00:00
55,1803,294711629,46387,2021-02-15 00:00:00
56,1791,294958586,7792,2021-02-16 00:00:00
57,1767,291523195,112519,2021-02-17 00:00:00
58,1817,300622581,143817,2021-02-18 00:00:00
59,1875,333787841,494114,2021-02-19 00:00:00
60,1914,344370114,1256535,2021-02-20 00:00:00
61,1894,339928292,328342,2021-02-21 00:00:00
62,1879,340343362,259935,2021-02-22 00:00:00
63,1732,312701522,102069,2021-02-23 00:00:00
64,1549,271660314,411399,2021-02-24 00:00:00
65,1613,292656427,257054,2021-02-25 00:00:00
66,1485,271158609,171245,2021-02-26 00:00:00
67,1445,263018409,157171,2021-02-27 00:00:00
68,1461,264637341,130538,2021-02-28 00:00:00
69,1409,257558423,142945,2021-03-01 00:00:00
70,1551,283798158,268536,2021-03-02 00:00:00
71,1483,273014655,428948,2021-03-03 00:00:00
72,1502,276033518,465191,2021-03-04 00:00:00
73,1511,277102273,284001,2021-03-05 00:00:00
74,1519,278866082,321660,2021-03-06 00:00:00
75,1593,293038723,111495,2021-03-07 00:00:00
76,1627,299263259,256675,2021-03-08 00:00:00
77,1728,317176961,133486,2021-03-09 00:00:00
78,1781,329182604,33508,2021-03-10 00:00:00
79,1778,329898559,61083,2021-03-11 00:00:00
80,1781,333299923,107490,2021-03-12 00:00:00
81,1740,324313855,51357,2021-03-13 00:00:00
82,1891,352839315,72495,2021-03-14 00:00:00
83,1813,337871232,5742,2021-03-15 00:00:00
84,1744,327760427,111250,2021-03-16 00:00:00
85,1759,328378342,58752,2021-03-17 00:00:00
86,1731,321599551,130013,2021-03-18 00:00:00
87,1699,318143497,30388,2021-03-19 00:00:00
88,1772,331655174,585,2021-03-20 00:00:00
89,1732,324579083,59628,2021-03-21 00:00:00
90,1699,318975718,67276,2021-03-22 00:00:00
91,1588,298103060,67902,2021-03-23 00:00:00
92,1579,296240548,109868,2021-03-24 00:00:00
93,1493,282328022,32320,2021-03-25 00:00:00
94,1498,281726610,82558,2021-03-26 00:00:00
95,1593,300043292,25988,2021-03-27 00:00:00
96,1624,307162321,269826,2021-03-28 00:00:00
97,1601,301807932,69644,2021-03-29 00:00:00
98,1716,324269510,44640,2021-03-30 00:00:00
99,1742,329674949,352467,2021-03-31 00:00:00
100,1957,371312517,367875,2021-04-01 00:00:00
101,1996,380181035,60395,2021-04-02 00:00:00
102,2091,398684970,201007,2021-04-03 00:00:00
103,2054,393148123,651546,2021-04-04 00:00:00
104,2098,400546605,171226,2021-04-05 00:00:00
105,2125,410571877,248203,2021-04-06 00:00:00
106,2148,415691225,301918,2021-04-07 00:00:00
107,2026,394280450,262454,2021-04-08 00:00:00
108,2078,403455305,160130,2021-04-09 00:00:00
109,2046,397249529,70885,2021-04-10 00:00:00
110,2106,432854220,317570,2021-04-11 00:00:00
111,2117,436029206,264403,2021-04-12 00:00:00
112,2120,470602814,197885,2021-04-13 00:00:00
113,2255,511084059,82216,2021-04-14 00:00:00
114,2344,526918484,242297,2021-04-15 00:00:00
115,2444,555852003,319865,2021-04-16 00:00:00
116,2347,534529234,84021,2021-04-17 00:00:00
117,2277,518288626,181998,2021-04-18 00:00:00
118,2171,494299217,103647,2021-04-19 00:00:00
119,2158,542126589,431,2021-04-20 00:00:00
120,2215,555497664,66428,2021-04-21 00:00:00
121,2294,576639980,97810,2021-04-22 00:00:00
122,2335,585848852,73407,2021-04-23 00:00:00
123,2253,565826796,50726,2021-04-24 00:00:00
124,2188,553127173,165463,2021-04-25 00:00:00
125,2277,574408905,136339,2021-04-26 00:00:00
126,2436,614456049,135254,2021-04-27 00:00:00
127,2678,676456203,908389,2021-04-28 00:00:00
128,2774,709163451,928159,2021-04-29 00:00:00
129,2774,710644702,292122,2021-04-30 00:00:00
130,2689,690706798,1176354,2021-05-01 00:00:00
131,2867,738880504,604540,2021-05-02 00:00:00
132,2872,741949565,436254,2021-05-03 00:00:00
133,3322,857736338,928629,2021-05-04 00:00:00
134,3253,850165593,912158,2021-05-05 00:00:00
135,3507,956207198,732915,2021-05-06 00:00:00
136,3481,958274123,873699,2021-05-07 00:00:00
137,3466,1069920239,1101383,2021-05-08 00:00:00
138,3893,1267235759,11420710,2021-05-09 00:00:00
139,3908,1303074816,2130746,2021-05-10 00:00:00
140,3998,1341238586,3497120,2021-05-11 00:00:00
141,4087,1375087905,1401292,2021-05-12 00:00:00
142,3936,1328837396,2741139,2021-05-13 00:00:00
143,3687,1253121744,2313109,2021-05-14 00:00:00
144,4066,1377930608,4768501,2021-05-15 00:00:00
145,3793,1308400999,2029142,2021-05-16 00:00:00
146,3578,1230824404,1823519,2021-05-17 00:00:00
147,3280,1130747577,5074496,2021-05-18 00:00:00
148,3327,1170214897,840972,2021-05-19 00:00:00
149,2469,904861058,9807968,2021-05-20 00:00:00
150,2738,962371941,3771081,2021-05-21 00:00:00
151,2393,844568022,2148359,2021-05-22 00:00:00
152,2291,962431004,2037601,2021-05-23 00:00:00
153,2107,867119265,1929898,2021-05-24 00:00:00
154,2605,1078149785,2889370,2021-05-25 00:00:00
155,2692,1134615330,2470541,2021-05-26 00:00:00
156,2864,1204718909,4084409,2021-05-27 00:00:00
157,2737,1214557376,8227280,2021-05-28 00:00:00
158,2416,1062509186,1864800,2021-05-29 00:00:00
159,2284,997552834,14744905,2021-05-30 00:00:00
160,2380,1056973450,2196306,2021-05-31 00:00:00
161,2686,1213071707,20585531,2021-06-01 00:00:00
162,2629,1183426039,47492268,2021-06-02 00:00:00
163,2709,1233045994,6757403,2021-06-03 00:00:00
164,2871,1311122176,1387056,2021-06-04 00:00:00
165,2686,1232282614,1795494,2021-06-05 00:00:00
166,2589,1188509689,863759,2021-06-06 00:00:00
167,2703,1240978738,2352496,2021-06-07 00:00:00
168,2589,1204690845,2906039,2021-06-08 00:00:00
169,2525,1176110910,2212508,2021-06-09 00:00:00
170,2619,1229435515,7499492,2021-06-10 00:00:00
171,2487,1177678060,1186083,2021-06-11 00:00:00
172,2350,1133657361,1579570,2021-06-12 00:00:00
173,2381,1186386362,7520951,2021-06-13 00:00:00
174,2501,1245029336,151823,2021-06-14 00:00:00
