Price_usd,Market_cap,Volume,Date
1,127904252,193593,2018-10-31 00:00:00
1,179073854,5821626,2018-11-30 00:00:00
0,248534076,168803745,2018-12-31 00:00:00
1,325851698,302355387,2019-01-31 00:00:00
1,237793919,262128170,2019-02-28 00:00:00
1,247482835,2986554757,2019-03-31 00:00:00
1,295234804,1818750872,2019-04-30 00:00:00
1,340665537,238264508,2019-05-31 00:00:00
1,367745517,4875660957,2019-06-30 00:00:00
0,435921688,137403694,2019-07-31 00:00:00
0,453399056,4598485401,2019-08-31 00:00:00
0,428916763,155029617,2019-09-30 00:00:00
0,468122310,265040006,2019-10-31 00:00:00
1,457191553,215961258,2019-11-30 00:00:00
1,521144821,336544599,2019-12-31 00:00:00
1,442466920,260192382,2020-01-31 00:00:00
0,444737275,981166187,2020-02-29 00:00:00
0,691237918,846837762,2020-03-31 00:00:00
1,726001387,541836441,2020-04-30 00:00:00
1,747124387,316020116,2020-05-31 00:00:00
1,981974100,234431291,2020-06-30 00:00:00
0,1145335232,438414588,2020-07-31 00:00:00
1,1474977047,395937094,2020-08-31 00:00:00
0,2537998073,358093454,2020-09-30 00:00:00
0,2886046069,420706141,2020-10-31 00:00:00
0,2969654630,505414899,2020-11-30 00:00:00
1,3705248341,1337175783,2020-12-31 00:00:00
0,5835791902,1387220618,2021-01-31 00:00:00
1,8973026510,1777767769,2021-02-28 00:00:00
1,10903519641,1452816285,2021-03-31 00:00:00
1,14603752839,1796835293,2021-04-30 00:00:00
1,22426127684,4255013571,2021-05-31 00:00:00
0,25227093820,3563868028,2021-06-30 00:00:00
1,27488455660,2658076654,2021-07-31 00:00:00
1,27379050578,2325291768,2021-08-31 00:00:00
1,31495887077,3166993947,2021-09-30 00:00:00
1,33228774070,2524509473,2021-10-31 00:00:00
0,38505521701,3345818600,2021-11-30 00:00:00
1,42428767390,2384674413,2021-12-31 00:00:00
1,49794511800,1916993299,2022-01-31 00:00:00
1,53569960347,3635184947,2022-02-28 00:00:00
1,52132452506,3800078242,2022-03-31 00:00:00
0,49286152379,4826584296,2022-04-30 00:00:00
1,53826859973,6151348002,2022-05-31 00:00:00
1,55645129055,5324472706,2022-06-30 00:00:00
1,54486021782,5527832241,2022-07-31 00:00:00
0,52328535498,5544622882,2022-08-31 00:00:00
0,48516414136,3570551938,2022-09-30 00:00:00
0,43650950203,3264243989,2022-10-31 00:00:00
1,43289158814,2593719685,2022-11-30 00:00:00
1,44523297779,1799928456,2022-12-31 00:00:00
1,42731330918,3344857696,2023-01-31 00:00:00
1,42555162070,3003907471,2023-02-28 00:00:00
1,32875147350,4911118167,2023-03-31 00:00:00
1,30517472541,3185876111,2023-04-30 00:00:00
0,28960554486,3058257262,2023-05-31 00:00:00
0,27953686257,3537812928,2023-06-30 00:00:00
1,26538644794,2832065269,2023-07-31 00:00:00
1,25989436684,2961414658,2023-08-20 18:47:50
